ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe,Preco_Final,annual_expenditure,concelho_limpo,income,energy_expenditure_ratio,energy_poverty
2022,Bragança,Vinhais,16537075.0,7934,2084.330098311066,0.22104739916945426,460.7357472422741,vinhais,14512.112741593974,3.1748357764733575,0
2022,Castelo Branco,Belmonte,13790810.0,5108,2699.84534064213,0.22104739916945426,596.7937907087121,belmonte,16314.840551155594,3.657981142000439,0
2022,Castelo Branco,Castelo Branco,128860199.0,43491,2962.9164424823525,0.22104739916945426,654.944973567136,castelo branco,20351.470780329844,3.2181702277761426,0
2022,Castelo Branco,Covilhã,111411780.0,35749,3116.500601415424,0.22104739916945426,688.8943524529195,covilha,18389.47198053881,3.746134490332088,0
2022,Castelo Branco,Fundão,64560035.0,24008,2689.10508997001,0.22104739916945426,594.419686231212,fundao,17133.36799497241,3.469368581855229,0
2022,Castelo Branco,Idanha-a-Nova,25412524.0,10717,2371.234860502006,0.22104739916945426,524.1552987339121,idanha a nova,15750.072289646068,3.327954875981657,0
2022,Castelo Branco,Oleiros,10524757.0,5629,1869.7383194173033,0.22104739916945426,413.3007926346612,oleiros,15876.859897389466,2.6031645760294055,0
2022,Castelo Branco,Penamacor,11692964.0,6381,1832.465757718226,0.22104739916945426,405.0617898106972,penamacor,15308.138349957615,2.646055193326749,0
2022,Castelo Branco,Proença-a-Nova,17296865.0,7391,2340.260451900961,0.22104739916945426,517.3084862718391,proenca a nova,16636.586188458594,3.1094629656095845,0
2022,Castelo Branco,Sertã,33547120.0,13634,2460.5486284289277,0.22104739916945426,543.8978748441824,serta,15724.919245493338,3.45882777744668,0
2022,Castelo Branco,Vila Velha de Ródão,8763131.0,3521,2488.818801476853,0.22104739916945426,550.1469230704967,vila velha de rodao,17529.010963910998,3.138493804374632,0
2022,Castelo Branco,Vila de Rei,7771256.0,3296,2357.783980582524,0.22104739916945426,521.1820167111699,vila de rei,16010.039155872846,3.2553450471730327,0
2022,Coimbra,Arganil,26086454.0,11059,2358.843837598336,0.22104739916945426,521.4162953480068,arganil,15881.625637555879,3.283141834769068,0
2022,Coimbra,Cantanhede,70447660.754,24063,2927.634158417487,0.22104739916945426,647.1459164378396,cantanhede,17938.3152626094,3.6076181456502194,0
2022,Coimbra,Coimbra,326257538.01199996,93778,3479.0413317835737,0.22104739916945426,769.0330379937934,coimbra,26163.865739960478,2.939294390351642,0
2022,Coimbra,Condeixa-a-Nova,26714637.0,9255,2886.5085899513774,0.22104739916945426,638.0552164890407,condeixa a nova,21840.896756629416,2.921378291371532,0
2022,Coimbra,Figueira da Foz,125253217.612,49508,2529.959150278743,0.22104739916945426,559.2408901740786,figueira da foz,21285.785943267052,2.6272973507514443,0
2022,Coimbra,Góis,10057421.0,4971,2023.218869442768,0.22104739916945426,447.2272690408875,gois,15604.576046305625,2.8660007661455715,0
2022,Coimbra,Lousã,33401597.0,11565,2888.1623000432337,0.22104739916945426,638.4207648038258,lousa,18853.61577335219,3.3861980241804512,0
2022,Coimbra,Mira,28484067.0,9881,2882.7109604291063,0.22104739916945426,637.2157603601336,mira,17994.093518303343,3.5412495756564035,0
2022,Coimbra,Miranda do Corvo,21781893.0,7725,2819.6625242718446,0.22104739916945426,623.2790675258694,miranda do corvo,17500.602524866357,3.561472050120909,0
2022,Coimbra,Montemor-o-Velho,47712174.0,14171,3366.8882929927317,0.22104739916945426,744.2419004601269,montemor o velho,19403.754618684517,3.8355561337776956,0
2022,Coimbra,Oliveira do Hospital,40019729.0,14651,2731.5356630946694,0.22104739916945426,603.7988540656874,oliveira do hospital,16110.027731299857,3.7479690546564264,0
2022,Coimbra,Pampilhosa da Serra,9464554.0,5321,1778.7171584288667,0.22104739916945426,393.18080172878314,pampilhosa da serra,15486.272904057543,2.538898831014183,0
2022,Coimbra,Penacova,23186922.0,8710,2662.10355912744,0.22104739916945426,588.4510680648681,penacova,15966.016213051804,3.6856474414940443,0
2022,Coimbra,Penela,11316685.0,4032,2806.7175099206347,0.22104739916945426,620.4176057713232,penela,17157.615901046025,3.6159895952298307,0
2022,Coimbra,Soure,33450826.0,11733,2851.0036648768432,0.22104739916945426,630.2069451436086,soure,18611.686102448322,3.3860819577260455,0
2022,Coimbra,Tábua,23771731.0,9279,2561.88500916047,0.22104739916945426,566.2980182461354,tabua,15488.338680206318,3.656286383831786,0
2022,Coimbra,Vila Nova de Poiares,13963444.0,4918,2839.252541683611,0.22104739916945426,627.6093899244247,vila nova de poiares,16142.731996745115,3.8878759187166745,0
